iteration,id,group_id,x,y,age,known_cells,group_member_ids, last_three_cells
94,5,1,19,20,2512,[19_21];[18_21];[16_18];[17_21];[19_20];[16_20];[16_19];[17_19],[1;3;4;5],[18_21];[18_21];[19_20]
94,6,2,16,19,901,[19_20];[16_17];[16_20];[16_18];[20_21];[17_21];[16_19],[0;2;6;7;8;9],[16_17];[16_17];[16_18]
94,7,2,15,23,946,[14_23];[10_22];[10_24];[15_23];[11_24];[13_24],[0;2;6;7;8;9],[15_23];[15_23];[15_23]
94,8,2,19,11,1734,[19_12];[19_13];[18_12];[19_11];[20_12];[20_11],[0;2;6;7;8;9],[19_12];[20_11];[20_11]
94,9,2,2,18,2287,[2_18];[1_18];[2_19];[2_17],[0;2;6;7;8;9],[2_19];[2_18];[2_17]
95,0,2,6,2,1565,[4_0];[6_2];[6_0];[6_1];[6_3],[0;2;6;7;8;9],[6_3];[6_3]
95,1,1,19,2,1363,[16_2];[19_1];[19_2];[17_2];[19_0];[18_1],[1;3;4;5],[19_0];[19_2]
95,2,2,19,11,2556,[20_9];[20_10];[21_11];[20_11];[19_11];[21_10];[21_9],[0;2;6;7;8;9],[20_11];[19_11];[19_11]
95,3,1,23,24,2391,[24_23];[24_24];[21_22];[23_22];[22_23];[24_22];[24_21];[22_22];[23_24],[1;3;4;5],[24_24];[23_24];[23_24]
95,4,1,3,22,2250,[3_23];[3_22];[2_22];[4_22];[4_23],[1;3;4;5],[4_23];[3_22]
95,5,1,19,21,2513,[19_21];[18_21];[16_18];[17_21];[19_20];[16_20];[16_19];[17_19],[1;3;4;5],[19_20];[19_20]
95,6,2,16,18,902,[19_20];[16_17];[16_20];[16_18];[20_21];[17_21];[16_19],[0;2;6;7;8;9],[16_17];[16_18];[16_19]
95,7,2,15,22,947,[14_23];[10_22];[10_24];[15_23];[11_24];[13_24],[0;2;6;7;8;9],[15_23];[15_23];[15_23]
95,8,2,18,11,1735,[19_12];[18_11];[19_13];[18_12];[19_11];[20_12],[0;2;6;7;8;9],[20_11];[20_11];[18_11]
95,9,2,2,17,2288,[2_18];[1_18];[2_19],[0;2;6;7;8;9],[2_18];[2_17];[2_18]
96,0,2,5,3,1566,[4_0];[6_2];[6_0];[5_3];[6_1];[6_3],[0;2;6;7;8;9],[6_3];[6_2];[5_3]
96,1,1,19,1,1364,[16_2];[19_1];[19_2];[17_2];[19_0];[18_1],[1;3;4;5],[19_0];[19_2];[19_2]
96,2,2,19,12,2557,[20_9];[20_10];[21_11];[20_11];[19_11];[21_9],[0;2;6;7;8;9],[19_11];[19_11];[19_11]
96,3,1,22,24,2392,[24_23];[24_24];[23_22];[22_23];[22_24];[24_22];[24_21];[22_22];[23_24],[1;3;4;5],[24_24];[22_24]
96,4,1,2,22,2251,[3_23];[3_22];[2_22];[4_22];[4_23],[1;3;4;5],[4_23];[3_22];[3_22]
96,5,1,18,21,2514,[19_21];[18_21];[16_18];[17_21];[19_20];[16_20];[16_19];[17_19],[1;3;4;5],[19_20];[19_20];[19_21]
96,6,2,17,18,903,[17_18];[19_20];[16_17];[16_20];[16_18];[20_21];[17_21];[16_19],[0;2;6;7;8;9],[16_18];[16_19];[17_18]
96,7,2,14,23,948,[14_23];[10_24];[15_23];[15_22];[11_24];[13_24],[0;2;6;7;8;9],[15_22];[14_23]
96,8,2,19,11,1736,[19_12];[18_11];[19_13];[18_12];[19_11];[20_12],[0;2;6;7;8;9],[20_11];[18_11];[18_11]
96,9,2,3,18,2289,[2_18];[1_18];[2_19];[3_18],[0;2;6;7;8;9],[2_17];[2_17];[3_18]
97,0,2,5,4,1567,[4_0];[6_2];[5_3];[6_1];[6_3],[0;2;6;7;8;9],[6_2];[5_3];[5_3]
97,1,1,19,0,1365,[16_2];[19_1];[19_2];[19_0];[18_1],[1;3;4;5],[19_2];[19_2];[19_1]
97,2,2,19,12,2558,[20_9];[20_10];[21_11];[20_11];[19_12];[19_11];[21_9],[0;2;6;7;8;9],[19_12];[19_12]
97,3,1,23,24,2393,[24_23];[24_24];[23_22];[22_23];[22_24];[24_22];[24_21];[23_24],[1;3;4;5],[24_24];[22_24];[22_24]
97,4,1,3,22,2252,[3_23];[3_22];[2_22];[4_22],[1;3;4;5],[3_22];[3_22];[2_22]
97,5,1,19,21,2515,[19_21];[18_21];[16_18];[17_21];[19_20];[16_20];[16_19];[17_19],[1;3;4;5],[19_20];[19_21];[18_21]
97,6,2,16,18,904,[17_18];[19_20];[16_17];[16_20];[16_18];[17_21];[16_19],[0;2;6;7;8;9],[16_19];[17_18];[17_18]
97,7,2,13,23,949,[14_23];[10_24];[15_23];[15_22];[11_24];[13_24],[0;2;6;7;8;9],[15_22];[14_23];[14_23]
97,8,2,18,12,1737,[19_12];[18_11];[19_13];[18_12];[19_11];[20_12],[0;2;6;7;8;9],[18_11];[19_11];[18_12]
97,9,2,3,17,2290,[2_18];[1_18];[2_19];[3_18],[0;2;6;7;8;9],[2_17];[3_18];[3_18]
98,0,2,6,4,1568,[4_0];[6_2];[5_3];[6_1];[5_4];[6_3],[0;2;6;7;8;9],[5_3];[5_3];[5_4]
98,1,1,19,0,1366,[16_2];[19_1];[19_2];[19_0];[18_1],[1;3;4;5],[19_2];[19_1];[19_0]
98,2,2,19,11,2559,[20_9];[20_10];[21_11];[20_11];[19_12];[19_11];[21_9],[0;2;6;7;8;9],[19_12];[19_12];[19_12]
98,3,1,24,23,2394,[24_23];[24_24];[23_22];[22_23];[22_24];[24_22];[24_21];[23_24],[1;3;4;5],[22_24];[23_24];[24_23]
98,4,1,3,23,2253,[3_23];[3_22];[2_22];[4_22],[1;3;4;5],[3_22];[2_22];[3_23]
98,5,1,18,21,2516,[19_21];[18_21];[16_18];[17_21];[19_20];[16_20];[16_19];[17_19],[1;3;4;5],[19_21];[18_21];[18_21]
98,6,2,16,20,905,[17_18];[16_17];[16_20];[16_18];[17_21];[16_19],[0;2;6;7;8;9],[17_18];[16_18];[16_20]
98,7,2,12,23,950,[14_23];[10_24];[15_23];[15_22];[11_24];[13_24];[13_23],[0;2;6;7;8;9],[14_23];[14_23];[13_23]
98,8,2,19,12,1738,[19_12];[18_11];[19_13];[18_12];[19_11],[0;2;6;7;8;9],[19_11];[18_12];[18_12]
98,9,2,2,17,2291,[3_17];[2_18];[1_18];[2_19];[3_18],[0;2;6;7;8;9],[3_18];[3_18];[3_17]
99,0,2,7,4,1569,[6_4];[6_2];[5_3];[6_1];[5_4];[6_3],[0;2;6;7;8;9],[5_3];[5_4];[6_4]
99,1,1,19,0,1367,[16_2];[19_1];[19_2];[19_0];[18_1],[1;3;4;5],[19_1];[19_0];[19_0]
