iteration,id,group_id,x,y,age,known_cells,group_member_ids, last_three_cells
60,4,2,5,19,1136,[5_17];[6_19];[5_18];[5_20],[0;2;3;4;7;9],[6_19];[5_20];[5_20]
60,5,1,7,5,1807,[7_6];[7_4];[9_6];[9_8];[8_7];[9_7];[8_4],[1;5;6;8],[8_7];[7_6];[7_6]
60,6,1,23,19,849,[24_19];[23_18];[24_18],[1;5;6;8],[24_18];[24_18];[24_19]
60,7,2,21,11,1515,[21_8];[20_11];[21_9];[20_10];[23_7];[22_9],[0;2;3;4;7;9],[20_11];[20_11];[20_11]
60,8,1,18,18,1744,[17_18];[17_17];[16_18];[18_17];[18_18],[1;5;6;8],[18_17];[17_17];[18_18]
60,9,2,8,14,1298,[7_15];[9_14];[8_14];[7_14];[8_15];[8_13];[7_13];[7_16],[0;2;3;4;7;9],[8_15];[8_14];[9_14]
61,0,2,9,10,1761,[8_10];[9_11];[9_10];[8_11];[10_10],[0;2;3;4;7;9],[9_11];[9_11];[9_11]
61,1,1,9,14,1922,[11_14];[11_15];[8_14];[11_13];[9_14];[12_14];[10_15];[12_13];[10_14];[13_15],[1;5;6;8],[10_14];[9_14];[8_14]
61,2,2,2,5,1872,[1_8];[3_6];[4_5];[1_6];[3_5];[1_7];[2_5];[0_6],[0;2;3;4;7;9],[2_5];[2_5];[2_5]
61,3,2,24,6,1801,[24_7];[23_5];[23_6];[24_5];[24_6],[0;2;3;4;7;9],[24_6];[24_6]
61,4,2,5,18,1137,[5_17];[6_19];[5_19];[5_18];[5_20],[0;2;3;4;7;9],[5_20];[5_20];[5_19]
61,5,1,8,5,1808,[8_5];[7_6];[9_6];[9_8];[8_7];[9_7];[8_4],[1;5;6;8],[7_6];[7_6];[8_5]
61,6,1,24,19,850,[24_19];[23_18];[24_18];[23_19],[1;5;6;8],[24_18];[24_19];[23_19]
61,7,2,20,11,1516,[21_8];[20_11];[21_9];[20_10];[23_7];[22_9],[0;2;3;4;7;9],[20_11];[20_11];[20_11]
61,8,1,18,17,1745,[17_18];[17_17];[16_18];[18_17];[18_18],[1;5;6;8],[17_17];[18_18];[18_18]
61,9,2,9,14,1299,[7_15];[9_14];[8_14];[7_14];[8_15];[8_13];[7_13];[7_16],[0;2;3;4;7;9],[8_14];[9_14];[8_14]
62,0,2,9,9,1762,[8_10];[9_11];[9_9];[9_10];[8_11];[10_10],[0;2;3;4;7;9],[9_11];[9_11];[9_9]
62,1,1,10,14,1923,[11_14];[11_15];[8_14];[11_13];[9_14];[12_14];[10_15];[12_13];[10_14];[13_15],[1;5;6;8],[9_14];[8_14];[10_14]
62,2,2,2,4,1873,[1_8];[3_6];[4_5];[1_6];[3_5];[1_7];[2_5];[0_6],[0;2;3;4;7;9],[2_5];[2_5];[2_5]
62,3,2,24,5,1802,[24_7];[23_5];[23_6];[24_5];[24_6],[0;2;3;4;7;9],[24_6];[24_6];[24_6]
62,4,2,4,19,1138,[5_17];[6_19];[5_19];[4_19];[5_18];[5_20],[0;2;3;4;7;9],[5_19];[5_18];[4_19]
62,5,1,9,5,1809,[8_5];[7_6];[9_6];[9_8];[8_7];[9_7];[9_5];[8_4],[1;5;6;8],[7_6];[8_5];[9_5]
62,6,1,23,19,851,[24_19];[23_18];[24_18];[23_19],[1;5;6;8],[24_19];[23_19];[24_19]
62,7,2,21,11,1517,[21_8];[20_11];[21_9];[20_10];[23_7],[0;2;3;4;7;9],[20_11];[20_11];[20_11]
62,8,1,17,17,1746,[17_18];[17_17];[16_18];[18_17];[18_18],[1;5;6;8],[18_18];[18_18];[18_17]
62,9,2,9,15,1300,[7_15];[9_14];[8_14];[8_15];[8_13];[9_15];[7_13];[7_16],[0;2;3;4;7;9],[9_14];[8_14];[9_15]
